EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
493682,Shooting Permit,06/27/2019 07:00:00 AM,06/27/2019 08:00:00 PM,06/21/2019 02:41:00 PM,"Mayor's Office of Film, Theatre & Broadcasting",CENTRAL PARK WEST between WEST  104 STREET and WEST  106 STREET,Manhattan,"64, 7","22, 24",Still Photography,Not Applicable,United States of America,10025
494246,Shooting Permit,06/27/2019 07:00:00 AM,06/27/2019 11:00:00 PM,06/25/2019 11:18:59 AM,"Mayor's Office of Film, Theatre & Broadcasting",2 AVENUE between 36 STREET and 35 STREET,Brooklyn,7,72,Commercial,Commercial,United States of America,11232
494571,Rigging Permit,06/27/2019 07:00:00 AM,06/27/2019 07:00:00 PM,06/26/2019 02:26:38 PM,"Mayor's Office of Film, Theatre & Broadcasting",34 AVENUE between 35 STREET and 36 STREET,Queens,1,114,Television,Cable-episodic,United States of America,11106
494391,Shooting Permit,06/27/2019 08:00:00 AM,06/28/2019 02:00:00 AM,06/25/2019 05:08:57 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST END AVENUE between WEST  100 STREET and WEST  104 STREET,  WEST END AVENUE between WEST  102 STREET and WEST  105 STREET,  WEST END AVENUE between WEST  105 STREET and WEST  106 STREET,  WEST  105 STREET between RIVERSIDE DRIVE and WEST END AVENUE,  RIVERSIDE DRIVE between WEST  105 STREET and WEST  106 STREET",Manhattan,7,24,Television,Not Applicable,United States of America,10025
494254,Shooting Permit,06/27/2019 08:00:00 AM,06/27/2019 11:30:00 PM,06/25/2019 11:32:45 AM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST  153 STREET and WEST  155 STREET,  WEST  155 STREET between BROADWAY and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST  151 STREET and WEST  152 STREET,  WEST  152 STREET between AMSTERDAM AVENUE and BROADWAY,  WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  ST NICHOLAS AVENUE between WEST  153 STREET and WEST  154 STREET,  ST NICHOLAS AVENUE between WEST  154 STREET and WEST  155 STREET,  WEST  155 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE",Manhattan,"12, 9","30, 33",Film,Feature,United States of America,"10031, 10032"
494250,Shooting Permit,06/27/2019 08:00:00 AM,06/27/2019 11:59:00 PM,06/25/2019 11:24:04 AM,"Mayor's Office of Film, Theatre & Broadcasting","HENDRICKSON STREET between FLATLANDS AVENUE and AVENUE P,  FLATLANDS AVENUE between FLATBUSH AVENUE and HENDRICKSON STREET,  FLATLANDS AVENUE between HENDRICKSON STREET and COLEMAN STREET,  FLATBUSH AVENUE between FLATLANDS AVENUE and TROY AVENUE,  FLATBUSH AVENUE between LOTT PLACE and TROY AVENUE,  LOTT PLACE between FLATBUSH AVENUE and HARDEN STREET,  AVENUE M between FLATBUSH AVENUE and HARDEN STREET,  BAUGHMAN PLACE between FLATBUSH AVENUE and TROY AVENUE,  AVENUE P between FLATBUSH AVENUE and HENDRICKSON STREET",Brooklyn,18,63,Film,Feature,United States of America,11234
492194,Rigging Permit,06/27/2019 09:00:00 AM,06/27/2019 04:00:00 PM,06/14/2019 11:45:14 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
494309,Shooting Permit,06/27/2019 10:00:00 AM,06/27/2019 10:00:00 PM,06/25/2019 02:30:17 PM,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  REVIEW AVENUE between 35 STREET and BORDEN AVENUE",Queens,2,108,Television,Cable-other,United States of America,11101
494133,Shooting Permit,06/27/2019 11:30:00 AM,06/28/2019 01:30:00 AM,06/24/2019 05:37:28 PM,"Mayor's Office of Film, Theatre & Broadcasting","CANAL STREET between WRIGHT STREET and BROAD STREET,  GORDON STREET between BROAD STREET and LAUREL AVENUE,  WARREN STREET between GORDON STREET and FULTON STREET,  HILL ST between TOMPKINS AVENUE and WARREN STREET,  BROAD STREET between TOMPKINS AVENUE and TARGEE STREET,  TOMPKINS AVE between BROAD STREET and HILL STREET,  PORT RICHMOND AVENUE between BLACKFORD AVENUE and LA FORGE AVENUE,  PORT RICHMOND AVENUE between HOOKER PLACE and WALKER STREET,  LAFORGE AVENUE between LAFORGE PLACE and PORT RICHMOND AVENUE,  HOOKER PLACE between LAFORGE PLACE and PORT RICHMOND AVENUE,  HOMESTEAD AVENUE between PORT RICHMOND AVENUE and HEBERTON AVENUE,  RAINBOW AVENUE between PORT RICHMOND AVENUE and HEBERTON AVENUE,  CATHERINE STREET between PORT RICHMOND AVENUE and HEBERTON AVENUE,  LAGRANGE PLACE between CATHERINE STREET and BEEKMAN STREET",Staten Island,1,"120, 121",Television,Episodic series,United States of America,"10302, 10304"
494140,Shooting Permit,06/27/2019 12:00:00 PM,06/27/2019 10:00:00 PM,06/24/2019 05:56:49 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   43 STREET between 7 AVENUE and 8 AVENUE,Manhattan,5,14,Theater,Theater,United States of America,10036
494498,Shooting Permit,06/27/2019 12:00:00 PM,06/28/2019 03:00:00 AM,06/26/2019 10:50:41 AM,"Mayor's Office of Film, Theatre & Broadcasting","AUDUBON AVENUE between WEST  174 STREET and WEST  176 STREET,  WEST  175 STREET between ST NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  176 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  176 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  ST NICHOLAS AVENUE between WEST  173 STREET and WEST  174 STREET,  ST NICHOLAS AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  175 STREET and WEST  176 STREET,  WADSWORTH AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  178 STREET and WEST  179 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  ST NICHOLAS AVENUE between WEST  179 STREET and WEST  180 STREET,  WEST  179 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE",Manhattan,12,"33, 34",Film,Feature,United States of America,10033
494276,Shooting Permit,06/27/2019 01:00:00 PM,06/28/2019 04:00:00 AM,06/25/2019 12:29:49 PM,"Mayor's Office of Film, Theatre & Broadcasting","VETERANS ROAD EAST between SHARROTTS ROAD and BEND,  CLAY PIT ROAD between VETERANS ROAD EAST and BLOOMINGDALE ROAD,  WOODROW ROAD between VETERANS ROAD EAST and VETERANS ROAD WEST,  VETERANS ROAD WEST between ENGLEWOOD AVENUE and SHARROTS ROAD,  ENGLEWOOD AVENUE between VETERANS ROAD WEST and ARTHUR KILL ROAD",Staten Island,3,123,Television,Cable-episodic,United States of America,10309
